Titile,Review
"Flight Left a Little Late Due to Weather, But Very Smooth Landing","Our flight boarded on time, but we were delayed in departure by the weather in the Boston area. We made up some of that time in flight. My wife was very impressed with how smooth the landing was and thanked the pilot on the way off the plane."
"Flight Left Late, But Made Up Some Time in Flight",The flight left about 45 minutes late due to the late arrival of the incoming flight. We made up some time in flight and landed about 15 minutes late. JetBlue did a good job of keeping us informed of the flight delay. They also gate checked a lot of carry on luggage which
1st time flight with JetBlue,Brilliant flight from LA to NYC. Upgraded for extra legroom on the 5+hr flight. Enjoyable experience throughout the whole trip.
Terrible service,"Staff is very rude. We were in our way to get married, had front seats with group A. We had a wedding party of 10 on the same plane. When tried to board was stopped by the attendant and told i had to wait for our turn even though they called group A. When finally explained that"
Seats were clean; TV screens in the back of the seat in front of you are great!,"I liked this airline & will fly it again. The seats were leather & therefore east to keep clean. The seat in front of you has a TV screen in it, and JetBlue has their own WiFi on board so you can watch TV or movies. Loved that."
Awesome flying experience!,"First time flying Jetblue and now I am a fan! I was a little wary about traveling with the family on Thanksgiving, but it was one of my best (coach) flying experiences. The boarding was well organized and the planes MUCH more roomy than my recent Southwest and American"
Excellent flight and wonderful employees,Excellent flight with comfortable seats and wonderful flight attendants. On time and smooth flying all the way.
Disappointed with JetBlue,We had chosen JetBlue bc we have flown with them many times previously. So we are aware of how the flight usually operates. You pay more for the flight but it usually hassle free. This is an international flight over 4 hours. We still had to pay for baggage. No alcohol or
Good times,The best airlinea excellent. Thank you Jennifer sara good job. A will can back any time. Well recommended to everyone flights 325 and 2426 thank you again
"Left on time, good leg room and snacks.","Very pleasant flight with good TV, better than average leg room, pleasant attendants and on time departure and arrival. What more could a traveler want? Price was competitive too."
One Loser Airline,My mother was scheduled to fly home yesterday (Sunday after Thanksgiving). The plane she was to fly was coming from West Palm Beach so no weather issues that were plaguing the Midwest. Flight was originally scheduled for 7:39PM. Kept delaying and delaying. The plane made it
Disappointed,"JetBlue was supposed to be a respected airline, but those days are gone. Now all their flights are delayed and they don’t even help you if you lose a connecting flight. On a round trip to Costa Rica both of my trips were delayed, and it was not a delay of an hour or two. The"
Excellent customer service!,"JetBlue has the absolute best customer service of all the domestic airlines. I seem to get delayed every time I fly, and this holiday was no different. But the customer service representatives kept the patrons consistently informed of the progress and were patient and helpful"
Best Way to Travel by Air,"Nonstop Flight from JFK airport in NYC to Orlando Intl in Florida. Airline was so great in treating our family, especially my Mother in Law who in in wheelchair and made sure she was taken care of on both ends of the flight, both to Florida and back to NY. By far the best"
Nightmare,"On November 10 2018 , flight 543 , we were delayed for 4 hours plus, as we waited around it was evident that Jetblue did not aknowledge the needs of the passengers, my husband and I struggle with medical conditions and very little was offer to all of us waiting around, specially"
missed work hours,"Flight was delayed for almost 3 hours, no reason or apologies given by airline. Very dissapointed and frustrated. I decided not to drive to Boston because of my back problems and ended up sitting and walking around for the same amount of hours plus missed half a day of work,"
"The Best Airline, Hands Down",We flew from Boston to San Francisco 2 weeks ago on the first flight of the day. We landed about 30 minutes early which was awesome. The flight itself was very full but the seats were comfortable and the overhead held our carry-on luggage without any issue. The service was
Jet Blue Mint,For a nonstop Bosotn to Seattle (or San Francsico or LA) this is the way to go. Terrific value. Comfort and great food!
FLIGHT FROM HELL,Flight time was 335am departure on a straight flight. We arrived at the airport at 1am. Flight was delayed until 7am. At 7am the flight became a connecting flight to Fort Lauderdale. There was no communication from JetBlue. No one told us why the flight was delayed. When we
My go to airline,As always great flight. Checked in online. Bag drop was quick. Staff was friendly. Boarded on time left on time. Arrived early. Love movie selection makes for quick flight. Bag came quickly at Logan
JetBlue is the best !!,Once again JetBlue proved to be the best airline I have ever flown. I need wheelchair assistance and they are always right there to assist. In fact my last flight to Boston from Punta Cana November 10th There was a problem with a wheelchair being at the ramp. The person at the
A perfect flight where everything fell into pefect place,Expected mediocre service. We were so wrong. Perfect flight; on-time; smiling pleasant cabin crew. Wonderful
Won't fly anyone else.......,"Love this airline!!! Professional and helpful flight attendants. Awesome flight, unless they don't fly there, I'll fly no one else!"
Thanksgiving flight,"On time, comfortable, staff have great service and are very helpful and friendly. It's the only company I fly."
Best Yet!!!!,"If you want anything more in economy, charter a private plane. Full cans of drinks, two bags of snacks. Courteous service, what more can you ask for?"
Super-Friendly Flight Attendants and Cool Amenities,"This was my first experience with JetBlue, so I did not know what to expect. As it turned out, I had a very pleasant experience from the smooth check-in to the timely arrival to my final destination. During the hour and forty-five minute flight, there was entertainment, wifi,"
Honeymoon trip,Amazing service!!!!!!! We had the best customer service from the man who checked in our baggage! We had a mistype in name which is actually a really big deal and requires calling many people to fix. We were at the desk for an hour and a half while Darrell worked incredibly hard
Exquisite Mint Experience,"Omg!!!!!! This was the best flying experience ever!!!!! I recommend anyone that has the opportunity to travel Mint; do so. You definitely won't be disappointed. The service was exceptional. The meal, to the accommodations was spectacular. I must do it again. The flight"
All inclusive package,We booked an all inclusive deal through JetBlue. Overall this was a good deal considering it was our flight to and from along with the all inclusive Riu resort. JetBlue provides free soda / water drinks and a snack on their flights and we did not feel nickle and dimed to death
going to a wedding,"the staff weren't the friendliest, but the flight was outstanding. didn't realize how much legroom there really is on those jet blue flights. the seats weren't the best for comfort, but with adjustable headrests, and angled tv monitors and nice side to side room helped"
Always a great experience,I always have a good experience with JetBlue even when things dont go as planned and there are delays. Keep on doing the good work!
Fairly good for the price,"Good space between sears and leg room; good storage, for carry on luggage, kind educated crew. Fast pilot."
Another good round trip on Jet Blue- LGB to JFK,"Two years later from my first review of these very same flights, made another trip to NY. I have to say we got the same great service and it was still the most convenient and economical way to get to and from the LA area to the NY area. Glad to see some things don't change"
Delayed departure but still great airline and staff.,"Jetblue is still the best airline out there but they were just off on Nov 12th. JetBlue Flight #1142 Nov 12,2018 West Palm Beach, FL (PBI) to Hartford, CT (BDL) Original departure time: 11:22 AM Updated departure time: 1:04 PM"
Best Airline...,"I think that Jet Blue is the best airline that I’ve flown. They have always been on time and affordable if you purchase in advance. They do NOT overbook. Hope, someday, that they fly to Europe. Thank you JetBlue!"
delays,The typical delay outside light not working could not fly without it.After an hour we had to leave the plane.It could not be fixed.Another plane was being sent from NYC. this took approx. 2 hrs. IT WAS 31/2 HRS. to board the plane.JET BLUEshould have offered us something at
internal flight in USA. on time and efficient,On time efficient and good staff. drinks and snacks complimentary reasonable leg room. they took my hand luggage into the hold and there was no wait at the destination.
Carry on,"Just dropped my aunt to JFK airport, she had a purse, bookbag, and a small rolling luggage. She was told one item must be paid for when all three were small to fit in the overhead, or two under her seat. This rule/policy JetBlue has doesn't make any sense! Picture this, bookbag"
$225 in change fees per ticket X 4 tix even with Medical Notes!,"I actually could not believe it. I booked tickets in June for our niece, her two little ones and her husband to visit us in Boston for Thanksgiving. In the last 48 hours her two year old fell at his preschool and sliced his ear open requiring multiple layers of stitches and"
"Roomy, no-frills airline","The whole experience from buying the tickets to checking in to actually taking the flight was a breeze. I was also very happy with the amount of legroom, the in-flight entertainment, and the snacks.as a matter of fact, the snacks on JetBlue are far superior to those snacks on"
Preferred airline,"If I can find a good affordable flight, I usually try and fly JetBlue. We did a round trip flight and both flights were comfortable. We boarded and arrived on time, no delays, and I enjoy being able to have tv access to keep me occupied"
Cancellations common - and they'll leave you hanging.,Our most recent JetBlue flight was cancelled because the flight crew's shift time had run out. JetBlue offered us a new flight home 2 days later but wouldn't pay for a hotel or anything in the mean time. Apparently we were supposed to sit on the airport floor for 2 days waiting.
No pillow or blanket,"Had to buy the pillow or blanket, the pillow was worthless,. And expensive... Bring your own head phones , they charge for headphones,. . I did like that there was screens at each seat... The Stewart was not friendly."
Flight to Barbados,"My husband and I traveled to Barbados for our wedding anniversary. During our travels together over the years, we've always used American Airlines so we thought we'd give JetBlue a try - I always flew JetBlue on family vacations growing up and always had a great experience. It"
Holidays in Jamaica,"comfortable, good leg room, good inflight entertainment, friendly helpful hosts and hostesses, no problems with baggage"
Beautiful and sunny weekend in FL,"We love Jet blue , they have a friendly staff , on time Very clean . The only bad thing was the waiting on line for almost 25 mins to take off and no WiFi  Coming back was great n super quiet . We got back 20 mins earlier . Can’t wait to go back to a nice and warm weather ."
Use to Love Jetblue,"We used to fly JetBlue extensively, but haven’t in the past two years. We have chosen to fly other airlines ( Southwest, Delta, American) They had a great price for flying, every traveler “has” their own monitor, and their customer service used to be top notch. Our recent"
Shark,Last August I bought a JetBlue one way flight from Traverse City-NYC which cost about $300 dollars. But I had to change to another flight. The agent I spoke on the phone told me not to worry: I could use these $300 dollars as credits for future purchase. However when I tried
"Smooth,easy on time!","easy all the way from start to finish. Efficient check in, good boarding, good service in flight. and easy baggage."
Such a nice crew,Perfect flight. Wonderful captain. He came out to chat before we flew. James was his name. There was a somewhat drunk fellow that got on. He quietly dealt with him. Tom was our steward. Great also!
Something new (?) atthe JFK terminal,"As always, the flight was fine. Service on board was the normal 'very good' level. One new thing seems to have been added at the terminal. Upon entering, we noticed several people waiting with wheelchairs. I know this service can be prearranged and thought that was all it was."
Never failed,Never had an issue I’m always flying JetBlue. Made the mistake of flying Delta and their staff has a nasty attitude. Just waiting to use my points!
outstanding,Jetblue is my airline of choice good leg room clean plane flight staff friendly and professional and seemed to enjoy there job great flight
"Excellent as a domestic airline, but I'm avoiding international flights on this one!","I've flown with JetBlue before. I love that we still get a carry on bag, and that WiFi AND JetBlue TV is FREE. You don't ever hear of that. Plus, when they give refreshments, they give you the entire can (unlike some other airlines that just poured your drink into those small"
Nightmare on Flight 8,"It was like the twilight zone episode with William Shatner, I had a fellow passenger in the middle seat who seemed intoxicated or under the influence leaning on me and changing the channel on the armrest for four hours while he chewed tobacco and spit it out in a water bottle"
What are you waiting for! Jetblue mint was amazing! Truly a wonderful surprise,"The individual pod was just as amazing as any international flight. I travel a lot to NYC and Boston ... and I always fly American first class (which I am STILL an American fan!) but was completely blown away by JetBlue Mint! Food was great - staff was amazing and not fake! "
"Very friendly employees, a very pleasant flight to Ft. Lauderdale",This is a very friendly group of people from the ticket and gate employees to the attendants. It is a pleasure flying JetBlue.
On time,"Flight was on time, value priced. The plane was clean, and the service good. Flight attendants were friendly."
This is such a lovely airline,"This really is such a lovely airline to fly, unfortunately we only manage to fly with JetBlue on 4 or 5 times a year, just wish we had on time, great service with European airlines. JetBlue keep up the good work."
JetBlue has slipped,I have been flying JetBlue to and from Boston since Delta cancelled their non stop flights.This flight was just an extension of the quality slippage. The WiFi did not work The waiting area was small and cramped and there is a restaurant nearby that was so Smokey that the smoke
Disappointed with our favorite airline,Jet Blue has been our preferred airline over the years but this time we were very disappointed during our departure for Jamaica. First the flight was delayed over an hour in Boston due to the co-captain being tied up in traffic getting to the airport and we almost missed our
"Friendly staff, but flight amenities average at best","My previous experiences flying JetBlue were generally positive, as flights were reasonably on time and flight attendants were friendly and accommodating. On my most recent flight, I paid more for their version of an extra comfort seat (""Even More Space""), which probably isn't"
ONLY AIRLINE TO TRAVEL,"Best airline to fly. I only fly JetBlue. I recently traveled to St. Lucia, a few times, lol, and the flight and crew were just amazing. NY based crew, very nice and accommodating. Lisa, the flight attendant remembered me and could not have been sweeter. Return flight,"
Baggage,Destroyed both are brand new heavy duty luggage. Looks to me like they try to damage it. I don’t even try to report it because we all know what you have to go through. Never again jetblue
Generally the airlines we fly,JetBlue is always very accommodating. We actually had an 8:15PM flight but arrived to the airport several hours before. They were kind enough to fit us on the 4:15 flight so we didn't have to wait around the airport for hours which actually got us home much earlier as well. We
On time both ways-efficient baggage pickup,"Both ends of round trip left on time. Planes were clean, staff courteous snacks & drinks served on short (2-1/2hr) flights. Boarding passes able to be printed 24hrs before flight. .Jetblue is a cut above most other airlines and I choose them whenever possible."
Travel to San Francisco,I travel often from Boston to San Francisco and Jet Blue makes this trip easy to book and easy to select a good time for me to fly. Getting a Jet Blue crédit card was a no brainer and now I use my Jet Blue points to spend time with my California family.
Just drive...it's fast and saves you money!,"Completely terrible. First time flying jetBlue. On Friday, my son and I were flying from CLT to Buffalo. We were supposed to arrive at 1:50pm. 1st flight was delayed so we missed out connecting flight. Stood in line for a hour to get scheduled on the next flight. The next"
This is my worse trip ever!!!,This nightmare is still going for me. I'm at lobby of raddison jfk hotel where I'm waiting for some paperwork to be done for the last almost 2 hours. Now it's 3 am. I should be in Belgrade by this time. Let me start from the beginning. Flight supposed to take off at 11.50am Sat
The worst airline ever,My family suppost to flight at 7pm and every 1 hour they keep changing the time now to 10 pm these is ridiculous.jet blue have nothing to offer to theyr customers they treat you like garbage.but if you 10 minutes late they cancel your flight and you have to pay.but it's ok when
6 day trip to Medellin Colombia,"Great flights. More legroom in coach than with other airlines. Good entertainment, drinks and snack service was great. This was my first time flying JetBlue. Loved it. Can’t wait to use them again to Colombia or Boston or nyc from RDU Past platinum membership on"
Disapointed,"I was totally caught off guard when my flight on 11/07 experienced a 90 minute delay. This was the first delay I had on JB and was disappointed they didn't offer some type of compensation. It is very expensive to travel to SW Florid and this delay cut into my vacation. "
Comfortable seat and nice crew,I had the opportunity to flight in economy but with extra space. You able to board after the people with assistance. Me as a cabin crew member for another Carrier I always bring chocolate to the crew . We really like the attention. I recomend that everytime you flight with any
Great Airline,"I live in Miami,I took Jetblue in emergency to Lima, when I learned my mom was grave ill in the hospital, I thought she would recover, but unfortunately she passed. I called the airline and told them i was going to stay more days, advising them about my mom'passing, they"
worst ever check in experience,avoid flying jetblue from NY -having had a fine experience on way up from barbados to NY -good legroom at front and good onboard entertainment system the return trip was a nightmare one part was snow disruption-not their fault -but the check in process if the kiosk doesn’t
Disappointed,This was our first JetBlue experience and our last. We like to do park and fly. I verified our flight information before driving to the airport. We checked into the hotel. Got settled and I checked again right before we went to sleep and found out our flight to Fort Lauderdale
Absolutely ridiculous airline,"This is my first and last time using Jet Blue Airlines. Today I had a 6.30 am flight to catch with my infant son. Flight duration 2.5hrs. After boarding on time and about to take off, they pilot announced there was an issue with a valve. We ended up deplaning and they said the"
Great with peanut allergy!,"Our daughter has a peanut allergy. JetBlue doesn’t serve peanuts on their flights, and they made sure everyone around us was informed of the allergy and asked them not to eat anything that contained nuts. They allowed us to board early to wipe down area of her seat. This helped"
Bumpy Flight,"Overall Jetblue does a good job but this was a very uncomfortable flight. The whole way was turbulence though the pilots did keep trying to make it better. The flights attendants were struggling and got very grumpy. Understandable but it did not make it any better. Lastly, they"
Great flight,The staff was super friendly and helpfull. The legroom was ample and the bathroom kept clean. The inflight entertainment console had a great selection. Checking into this flight was easy online and once at airport I printed my luggage tags and dropped my suitcases. I found
Comfortable Cabin,"This was my first time flying JetBlue. We started with a 2 hour delay due to the previous day's snow storm in North America. Then the check-in service seemed slow at the counter, even for those of us who checked in online and only had to do a bag drop. When we finally got on"
Always Blue..,My airline for travel..ready made sandwichs and salads for purchase on longer flights was helpful..snacks and drinks are always plentiful..use your jetblue credit card and get 50% discount on purchases..
Very good legroom and comfortable seating,"The service from Orlando to Mexico City was very pleasant. The gate crew, the cabin crew, and the larger then expected legroom made for a very nice business flight. I would most definitely consider Jet Blue again if the service met my destination needs."
Close the gate!!,"Over an hour and a half delay for a group of kids who were late to the airport. I'm not heartless, so I understand waiting on group of 35 kids. I still feel bad for the people who were missing connecting flights, especially the international ones, though. The person who made"
No complaints. American domestic airline with largest legroom,Quite expected as an American domestic airline. Largest legroom of the American domestic airlines. We have flown jetBlue before and will fly again with them.
8 hour delay and we were given chips. Wow,"One of the worst flying experiences ever. Our flight was scheduled to leave at 5 pm and left at 1:30 am. I luckily got on a flight from Southwest at 8:30 pm. Because of this smart and expensive decision, I was only given $100 as credit. Unbelievable. Never again JetBlue. "
Can't beat price and service,"There is only one class of service with JetBlue and they're all great. The seats are nice leather with the headbacks you can tilt in to support your head. Free wifi, free movies, free direct tv, free snacks. They also have some meatier snacks for sale. And at JFK they have their"
Home for Thanksgiving,"Not too happy, the plane coming in was running late & then they had to unload 8 wheelchairs & clean it- so we got on 40 minutes later than promised. If they know they have a lot of wheelchairs couldn't they adjust the time they say they'll leave? Also, Mosaic gets called first &"
Mr Ron,"Excellent flight, smooth landing, pilot handling of turbulence was excellent. Service on plane excellent. Most xtra leg room in the business. Plane was not full in the xtra leg room category. Wish there more direct flights from ft Myers."
Reliable and Reasonable,"I've almost exclusively have flown with JetBlue, they are reliable, reasonable in price, and for the most part, yes even in New York, depart on time. The plane is clean, reasonably spaced, and the flight attendants are friendly and easy to access. I am always surprised with"
Leg room was excelent. In time and good service.,"Excellent leg room, nice space, fast service, monitors behind each seat. Great staff. Left on time and the flying was smooth. Good service for wheel chairs (I needed one)."
Typical flight,"We flew Jetblue from SLC to Aruba in oct. 2018. It was a typical flight, nothing amazing happened. Our flight attendants seemed tired. No delays until our trip home. Overall I like flying Jetblue."
Good leg room and experience,Very nice flight and airline. Significantly better leg room compared to many other airlines. On time and no hassle for bag dimensions etc. Would take Jetblue any day for the right price.
Amazing experience,"From the quick and easy check in at Logan, to the early arrival in Tampa, this flight was flawless.Smooth, comfortable, and quiet: all good things in a sold out flight. This was my second flight with Jet blue, but not the last."
NEVER BOOK WITH JETBLUE,So I left the other day to leave LAX for a connection flight. We were supposed to leave at 12:40 but it got delayed due to weather. I get it’s for our safety. Our final destination was Turks and Caicos but we were running to the gate and it was pulling away when we got there. If
Better than expected,"Flight was delayed, not sure why, but other than that, i was happy with it. TV's on the seat backs was a nice touch. Good leg room, only two seats instead of cramming in three people in a row. I'd use them again as long as they don't have a history of delayed flights."
Reasonable and Dependable,"I travel to Florida from NY pretty regularly to see family. In the past, I’ve used Southwest. However, I’ve found that ticket prices on this airline have become very expensive. In addition, the process for seat assignment often results in being assigned a middle seat, unless you"
It's not worth flying JetBlue even though they can be cheaper,Currently at JFK airport after waiting 8 hours only to be told they're searching for a captain for our flight. Dozens of passengers called JetBlue and no one seems to know what's going on. I thought they had up their game but apparently they didn't. I will not be traveling
"Bad start, but they redeemed themselves","JetBlue We (Party of 4) used Jetblue for the first time this November to celebrate our 30-year wedding anniversary in New York, travelling from Aruba. We normally fly with American Airlines due to our Miles Savings Plan, but we wanted a direct non-stop flight. AA does not offer"
JetBlue flight,"Excellent service, free movies on flight, lots of snacks. The staff was very pleasant and helpful. Seats were comfortable and there was enough leg room."
My last flight to Aruba!,"I really enjoy flying on JetBlue. Great service, good movies, lots of snacks! I have use JetBlue for all of my travel 2015! Additionally this airline seems to get to Aruba faster than any other airline I have used for travel to Aruba."
JetBlue blues,"BEWARE OF JETBLUE POLICIES! I just returned from a 7 day fishing trip to Jaco, Cost Rico. The trip was fantastic, fishing was great! It wasnt until I got to the checkin counter that the young man advised me that JetBlue no longer allows fish to be transported on their planes. It"
Punta Cana,The flight was good. 3 out of 4 flights were on time and the 4th was only slightly delayed. Was kind of bummed because our original flight was canceled and had to leave the next day costing family & me a day of vacation :/
"Plane was late (due to snow), usually there are staff to direct you to the next flight especially when running late. Fou","Plane was late (due to snow), usually there are staff to direct you to the next flight especially when running late. Found my next flight and signs says it was boarding I ran to get on and they told me I couldn't get on. Then I had to go get a new flight middle seat. Not happy"
Flawless Flight,"Anytime I travel I try to with JetBlue simply because they make it easy. I like the fact that your not cramped, you have a television of your own and the flight attendants are for the most part pretty attentive. I was disappointed when they started charging for checked bags but"
hassle-free loading & ontime,nice smooth flight...left on time & arrived slightly ahead of schedule. helpful flight attendants & quick loading/deplaning given a full flight.
Best way to Fly,"Very comfortable, lots of leg room, & clean. Lots of free snacks & drinks. Great customer service. We really Enjoyed our flight."
barbados,"fine. Uneventful. Smooth. On time. The only negative was the long lines for Customs in Barbados and at Logan airport when we arrived back home. Not the airline's fault, but it was frustrating, because there were not enough employees at customs at Logan. Many international"
Avoid Jet Blue horrible flights,Today 11/15/18 my flight to JFK from LAX should take off at 10:20 am and when I was in the Uber i got an email saying there’s a delay and the departure will be at 12:20 so I stopped to avoid waiting 4 hours in the airport. Suddenly st 10:00 am I got another email saying the
Surprisingly On Time,"Flight was on time both ways. No complaints about punctuality or staff, everything was easy. I didn't have any issues, so not much to say. Crew and captain did their jobs."
Great Airline,"My husband, son and I flew to JFK with JetBlue and were extremely happy with the airline. The staff were courteous and the whole experience was a pleasant one! We will be flying with JetBlue again!"
Jetblue,"Worst company, i was the whole day in the airport just becuase ""bad weather' never again i rather choose another airline"
The system doesn't work,"JetBlue used to board from the back to the front. Maybe that worked, maybe not. All I know is whatever they do now doesn't work. I paid extra for a front row seat with priority boarding. I was at the gate almost two hours before boarding began. First they harangued people to"
Another Happy Trip to Fort Myers,"love flying JetBlue. never have a problem Do this trip at least 2-3 times a year due to a knee problem, for the first time i purchased the extra leg room which was very helpful."
Large Jet with inflight entertainment,"I had a pleasant flight from Fort Lauderdale to Baltimore. Although the flight was full the staff was friendly and helpful. I enjoyed the flight entertainment from a small screen on the back of the seat in front of me. Also, the leg room was good. Clean aircraft. The flight"
Sadly disappointed,"Normally I rave about JetBlue but I was disappointed with this flight. None of the flight attendants smiled, were friendly or really even made eye contact on this flight, which is usually the opposite of how they act. When I smile I expect a smile in return especially from"
Always true to JetBlue!,I travel to the NYC area often and rarely fly any other airline other than Jet Blue. Their pricing is fair and most importantly their timeliness of departures and arrivals is excellent. The airline staff on the ground and on the flight is always friendly and accommodating. Jet
1st Trip on JetBlue,"The flight was great; seats were spacious, leg room was ample, service was fast and efficient, and all those factors seem to help 'shorten' the 5 hrs. in the air. It was all very pleasant. On the other hand, the check-in wasn't nearly what it should have been. The kiosks"
Pleasant airline!,"Second roundtrip on JetBlue and enjoyed it very much! Seems like more legroom than Delta, and very generous with the snacks :) Will fly with JetBlue again!"
JetBlue service,"Quick flight. Friendly and attentive staff, plane was clean, satisfactory leg room although you can purchase more leg room seats. Good variety of free snacks and drinks."
#jetblue stopping flight to Daytona Beach,#jetblue ending service from JFK to Daytona Beach !!! Say it ain’t so !!! #jetblue has awesome service to Daytona from JFK !!! Keep it going !!!
They make it easy,"The non-stop from HPN to RSW is so easy and dare I say enjoyable. I take this flight quite a bit and have never had a problem (no delays, cancelations, bumps, etc). Between the lovely service, WiFi and in flight entertainment you barely notice it's a 2 hour plus flight!"
Great service.. keep it up!,Boarding procedure was fast Flyfi and entertainment was available Snacks and drinks as well as attendants service was pleasant Will definitely fly again with them.. happy Filipino passenger
Very Impressed!,"This was my first flight on Jet Blue airlines. I was very impressed with there on time departures/arrivals, increased leg room and tasty snacks. Airline associates were very friendly and strives to make your flight enjoyable. Free WiFi was a plus. I'll be back!!"
Great international Service,"Jet Blue has great service! While it was only a short flight the entertainment and snacks and beverages provided were fantastic! IF you do go internationally make sure to take a pen, the flight does not provide this and it is needed to fill out custom forms."
Great Flight Experience Flying Jet Blue,"I have traveled with most major airlines both for business and leisure over 30 times in the last few years. I have enjoyed the on time arrival and departure, courtesy and knowledge of ✈️ staff, as well as, customer service while flying with Jet Blue. The value for the great"
We made it!,Our flights going and coming were on time. The staff was attentive and kind towards my children. The pilots thanked us assured us we were in good hands.
Love JETBLUE,We had the best experience on Jet Blue especially with the extra leg room seats!! They offer direct TV and movies along with free snacks and drinks! The plane was also very clean.
Awesome Airline,"I always look to see if JetBlue flights are available first. They never disappoint. The staff and crew are always fantastic.We purchased the more space seats only because my husband wanted to be in the first row. Even without that purchase, the legroom is great unless you are"
Love JetBlue,The flight to Fort Lauderdale was delayed due to Hydraulic fluid levels being low we took off an hour late but landed only 30 mins late so the pilot was able to make up some time. All staff was very nice and helpful. Now the return flight there was some issues with passengers
Why I Choose JetBlue,I love JetBlue. When ever I need to fly I check JetBlue to see if the go there. If they don't I'm disappointed. The price is right. Upgrading to extra leg room is great BUT YOU DON'T HAVE TO! Regular seats have plenty of room. I LOVE the individual TV's at each seat plus the
JelBlue Airlines,"We recently flew JetBlue from Boston to Las Vegas and a week later, flew back to Boston. Our seats were the extra leg room seats, row 6 going to Las Vegas and row 2 going back to Boston. It was a very comfortable flight in both directions. I would highly recommend flying"
Top Notch Customer Service,"As usual the flight was great, comfortable seats, great flight attendants (very friendly), clean airplane and there gate area and restrooms are always spotless. Food vendors motto great, mostly fast foods. Will fly again"
Plesant 4 hour flight tpo my second home in Aruba,All flights that I have been on have left on time and arrive at the schedule time of arrival time. The tickeyt agents are very pleasant and always there to support uyour requests.
Horrible boarding process and rude employees,When attempting to board a connecting flight with my wife and 2 traveling companions I was very rudely informed by the boarding agent my ticket was for the wrong date. The agent took the ticket and refused to return it to me. The ticket was purchased with my wife's and had the
Some good some bad!,A bit more leg room then say Southwest. Assigned seats that you can change online if you want. (worked some times). Extra leg room seating that you can pay for. It was $75 a ticket for this 3 1/2 hr flight. We used it one way. Probably would not waste the money again. In
Jet Blue - Great Experience!,"Jet Blue has it together! Compared to a recent United flight, the crew was welcoming and communicated well and enjoyed being part of a team. They were attentive and the flight went well! Of course, in flight wi-fi was awesome."
Comfortable,Comfortable flight. Good for connections with international airlines. This allowing to gain miles on international programs. Staff was cordial. In flight entertainment was ok. Flight was on time. Smooth check in
No problem flight,"Flight left on time even though there was rough weather in NY. We got to the airport early , as recommended , then wandered around until it was time to leave. However, something that I had not encountered before. We went through US customs while we were still in Aruba. Never saw"
Great flight!,We had a great flight from Washington DC Jacksonville Florida. The schedule was on time. The flight crew and their service were excellent!
Roomy seats,I was pleasantly surprised by the bigger seating and FREE snacks on my flight. Also you can watch Amazon Prime . Bonus !
Destination wedding,My future husband and I are true blue members and JetBlue card holders. Horrible customer service was completely unexpected when we border the plan and the attendant refused to hang my dress. Not only did he refuse to do so but he did not provide any alternative options. He
"Love JetBlue, always my first choice to fly on.","Other than my tv/entertainment svreen not working, the flight was great. Great service, on time, ample legroom."
Lost my flight,"I’m very frustrated about lost my flight from Mexico to New York never happened before.I always tried to get on time unfortunately the JetBlue blue crew not every one (I hope) JetBlue Mexico. Has no flexibility when some one has a emergency very, uncomfortable ,unprofessional"
They try to make things right,I had totravel during the worst storm last year. The plane was cancelled so they paid for a bus to drive all of the passengers to Boston. They provided us with food and drinks because it was a very long day. They could not have been nicer or more accomodating.
The only way to go to FtMyers,"We have a condo in FtMyers ad prior to owning we rented there for about 15 years.JBlue has great flight selection The aircraft is always clean , crew hardworking and friendly. We have paid extra for the extra leg room seats they are always on time. Get the free JBlue card to"
"4hr delay, no compensation or apology","Flight has been delayed at least 4hrs. Customer service at the airport said it was a maintenance issue. This is not the first time I've been on a jetblue flight that has been delayed for ""maintenance"". Called Jetblue customer service and they told me that I could either wait or"
Love JetBlue!,"Love flying JetBlue! We've done the Buffalo to Fort Lauderdale flight twice now and both times were excellent! Flights left on time and the crew were friendly. Love the free snacks and drinks and the free tv is really appreciated, other airlines seem to make you download apps"
Chicago to San Juan!,We were traveling from Chicago to St.Croix. This meant a 6 hour flight from Chicago to San Juan Puerto Rico. We paid $100.00 ($50 a piece) for the “extra room” seats which were well worth the purchase to be able to spread out. We had a stop off in Ft. Lauderdale but was not made
JetBlue team is awesome!,"It's my pleasure to write a review about the wonderful flight attendant on my recent JetBlue flight. His name is Ness. Here are adjectives I would use to describe him: professional, friendly, great sense of humor, efficient, personable and very customer-centric focused. I don't"
DO NOT BUNDLE A CAR RENTAL WITH AIR TRAVEL,"Our flight was fine. Landed timely, got our luggage swiftly and headed to pick up our rental car. 8 rental car companies here and only the one that JetBlue uses to bundle travel has (no joke) at least 70 people in line. And they have only TWO reps at the counter for all these"
Very nice flights,"We had a very good experience with JetBlue. On the way to Punta Cana, the flights were on time. Nice, smooth flights. On the way back to Buffalo, the weather was not cooperative. The descent was bumpy, but the crew did an amazing job. My husband is tall. He was crowded. We"
Love Jetblue,Always fly Jetblue. The plane is always clean and the flight attendants were always great. Jetblue has always been a great airlines and we will keep using them.
My Go-To Airline,"I’ve traveled with this airline quite a few times, and have never had any types of disturbances in regards to customers on board the aircraft. Pretty much organized with boarding policies, I love how their are TV’s, you must provide your own headset... snacks & drinks are"
