Title,Review
No customer service,"My flight arrived in Boston at 8.30PM. The luggage appeared on the carousel and one wheel was broken off and missing, and another had the wheel housing pulled away from the luggage. I could not locate an airline representative or signage for an office site. When I called the"
Good Flight *Bonus Birthday Gift*!,"We flew into JFK (originally scheduled to fly into Miami) from the Bahamas just before Hurricane Dorian struck. We were lucky to get out in time! It was a much longer flight back to Los Angeles, but the airline made the adjustment for us for a safer way home. We weren't"
Extremely Unreliable Airline,"I wish there was a option for ZERO star or less. I missed two days of my all-inclusive vacation because of mechanical issues that turned into air traffic control issues, then turned into two sets of pilot change, later flight attendant switch, and finally a passenger that got"
Flight Attendants,"I will start by giving the biggest compliment and kudos to the flight attendants on my flight today from DCA to Puerto Rico. While in mid flight, one of the passengers had a heart attack and can I just say how well trained Lisa & Carlos are along with the rest of the crew."
Shocking experience,I’ve never thought that JetBlue the big and one of the best companies will do what’s best for them not for their people. We were stuck in the Bahamas for the hurricane all flights were cancelled except for our JetBlue flight kept delaying and delaying. All other flights told
"As most airlines, very unreliable scheduling","Like most of the american airlines, jetBlue is not 100% reliable in scheduling. At 2:30 am, I was about to head to the airport when I got an SMS stating that my 5:30 am flight will be delayed for 7 hours, no reason indicated. After ~20 minutes on their customer care hold, I was"
LUGGAGE RIP OFF,Im outraged i was charged $150.00 for my luggage 10 pounds over weight. If I would of known this I would have bought an extra carrier on bag but that would be difficult since i have fibromyaglia and cant carry stuff justa back pack I had one back pack and 1 check in luggage I am
Smooth flight,"I booked my flight thru JetBlue website. The booking process was painless and convenient. I checked in 24 hrs before the flight took off on my computer and got my boarding passes on my cellphone. At the airport, I just have to print my luggage tag. The flight took off on time"
Older Plane,"Seemed to be an older plane. No ports for USB devices such as a phone, etc. Movies available on flight couldn't be started when you wanted to watch. If you didn't luck out to engage from the beginning, were stuck watching from whatever point you joined the movie."
Great Experience,"There were no glitches with the airline, on time on bot directions. Affordable, comfortable seating, free TV and some snacks, what more can you ask for. I think I found me a new airline."
"Convenient, comfortable flight","JetBlue flies frequently (almost hourly) between Washington and Boston. The flight I took left DCA at 10:16 a.m. as scheduled and arrived at BOS on time. The Embraer jet had a 2x2 configuration with comfortable seats, plenty of legroom in economy, and large windows. The"
"Very good for the price, comfortable seats.","Comfortable seats, the only thing that this plane lacked of, was outlets to charge our phones. Overall a very good service and good seats."
"Direct non-stop flight but no ""frills""","Jet Blue takes me directly to a small airport in Worcester, Massachusetts, just 15 mins. from my hometown. I don't have to bother with an hour or more drivng in traffic from Boston, Providence or Hartford. It's quick, non-stop and a simple trip for me. Although JetBlue"
"Friendly attendants, Smooth landing",It was pouring and windy. It took a long time to refuel the jet and load the luggage. The pilot kept the passengers fully informed about the delay. (Yay! We would have missed the plane if not for the weather delay.)
You can always count on JetBlue,"JetBlue always gets you there on time and with outstanding service. Plenty of legroom, leather seats and individual televisions create a first class experience."
Easy Flying,Overall my experience with JetBlue has been positive. I love the convenience of the app as well as the JetBlue card where you can earn flight points. The coach seats have good leg room. I travel to Florida often and we love the direct flights as well as the midweek flight offers
Amazing quality of service by Kitty!,We were flying back from Montego Bay and there were situations with the seat assignment. Kitty was super helpful and helped us with the adjustment. Kudos to the great customer service! We will choose JetBlue again because of this great experience!
Can’t wait,Can’t wait to hear that the flight will be delayed. And I was correct. It is delayed and they don’t even serve snacks because according to the FA that there is a turbulence but we don’t feel any. Maybe he is just too tired for the day..
Recommend JetBlue.,"Like flying this airline! Just don't have enough locations. On time, nice customer service, more leg room and free entertainment/internet/movies on each seat."
Will pick Delta over JetBlue from now on!,"I tend to use Delta for my travel because they seem to go everywhere I need to go. I recently tried to get tickets to Turks & Caicos and the Delta flights were booked, so I decided to try Jet Blue...well, I tried it, and I did not like it! They do board the back of the plane"
Direct Flight.,"Despite a late night flight.the advantage Jetblue flights are direct, planes are new and the best space between the seats."
Legroom,"Legroom AND shoulder room. Unless you’re a ‘petite’ size, most economy seats are a bit like pouring yourself into tight jeans. Then the seat in front of you tilts back into your face. Not on JetBlue."
Great Airline,Lovely non-stop flight. As a senior it always seems like a hassle to change planes. Absolutely love this service to and from Boston-Denver. JetBlue is now my go to airline. Thanks for great service
great airline,"I only fly JetBlue, the best company, comfortable leather seats, always on time, allow 22"" carry on bag, highly recommend"
Return from visit to relatives,"Flew on a brand new aircraft - very comfortable, improved legroom (I’m 6’7” and NEED it!), full flight, but good service."
Flew into ft lauderdale,Was my first time flying Jet Blue and thought the entire experience went off with out any problem. Staff was very friendly and attentive and it made for the entire experience becoming memorable.
Very Reasonable Airline,"The boarding crew did an excellent job keeping the crowd informed of the reason for the delay. The disappointing was how long the delay was, the flight was supposed to leave MCO (Orlando) at 8:40PM. The aircraft was not pulled out until 10:35PM, that is almost two hours. It"
Good,"A little pricey but expected due to summer peak travel. Flight was ok but very limited space for carry on luggage. Boarding staff and flight attendants DON'T enforce the 1 up and 1 under so smaller bags get stuffed in overhead bins, some persons put both pieces inside and then"
Best Airlines ever!,"No delays, smooth short 3hrs flight. They invited my son to check pilots cabin! I'm sure everyone knows already JetBlue is the best Airlines in US!"
JetBlue Best Airline around,"As soon as I walked into the JetBlue terminal and went looking for help, I was welcomed by a staff member at the kiosk . She made sure everything I was doing was done correctly. I actually think I can do it by myself the next time, thanks to her guiding me."
Another Smooth Flight,It was a nice enjoyable flight. In typical JetBlue fashion we left on time and arrived early into Las Vagas. As always since it was a six hour flight I got to catch up on my movies.
"Made a four hour flight quick and painless. Plus, we arrived 30 minutes early.","I was pleasantly surprised by the legroom, service level and entertainment available. Having wifi be free is a great resource as well - I could iMessage the entire flight, do work, and since there was an in-seat entertainment unit, I got to work and play while as comfortable as"
Free upgrade !,"Checking in at Buffalo to fly back to JFK and the ,lovely lady gave us a free upgrade ! Only extra legroom and an hours flight but we were chuffed ! For the price we paid would use again. Lovely staff and stewardess was amazing and constantly smiling !"
Fam reunion,JetBlue into Westchester airport was smooth and easy. Attendants were friendly and in-flight entertainment was available.
Nice leg room and screen but really cold,Nice legs space and a big screen quite comfortable however the temperature is really really cold especially traveling to a warm area like Florida we piled all the clothes we have in order to stay warm I think the temperature is around 60°
Love JetBlue,"I always fly JetBlue if the prices allow it. The seats were comfortable, they board from the back as they should, and the entertainment works as advertised."
Cant beat JetBlue,"Better leg room, better snacks that are free and fast and free wifi. Best of all I was able to watch the Pats on my flight home."
Love JetBlue!,"I used my JetBlue points for a trip to California to visit family & friends. Flight on time both ways,attentive staff & smooth sailing. Can't ask for more than that."
JetBlue flight,Comfortable flight throughout from Cancun to new York. Love ability to watch movies or listen to music and check on status of flight.
Consistent Service,I find JetBlue consistently provides decent service. Good flight crews and early/on time flight departure and arrivals.
Reliable Airline with great entertainment and good customer service,Check in was easy for me via mobile check in but I was traveling with my parents and the jetblue kiosks at JFK were not printing any boarding passes. They had to wait in line for 30+ minutes before I eventually just checked them in with the app and sent them their mobile
First Flight To Aruba,"jet blue has many flights per day to aruba, however i take the first direct flight out of jfk, usually land in aruba before noon, we are the first ones through the aruba airport, off to my car rental and on the beach by 1pm. if you book early that one way flight is usually under"
JetBlue Efficiency,JetBlue was organized and efficient--passengers were seated on time- no delays. Seating was comfortable and spacious. Flight was early staff made sure passengers were comfortable and they went above and beyond expectations. They had room for luggage you did not have to go
jet blue getting old?,"I love and have been flying Jet Blue for over 10 years. Lately,and with greater frequency the in flight TV/movie have been less than perfect and customers frequently complain their TV screen isn't working. As a result the flight attendants ,(almost routinely) re-boot the system."
Love Jet Blue!,"Everything was great from beginning to end. Comfortable seats, all the drinks and snacks you want, plus in-flight entertainment. Worth the extra money!"
Perfect,"We travelled from Buffalo to Orlando in the mid of August 2019 with family. Everything was perfect from booking online till check in. The only thing we would suggest is to add varities of snacks offered , particularly additions of plain chips. Besides this the entertainment"
It's good,It's a good airline with good comfort inside the cabin from leg room to seats. Staff are friendly and cooperative.
internal trip,Found the staff to be friendly and helpful. Service of airline not to bad. Legroom was sufficient and plane was clean.
Summer getaway,Go to kiosk first get baggage tickets and get on line jfk check in is very busy.have all your documents in order
Early Flight,"We flew to New York on this airline. It was nice, I had a good seat, it was fast we left Florida early in the morning and arrived in New York at 10:00am. It took about a half hour to get to the hotel."
Smooth Trip from start to finish,From check in to boarding everything went smooth no delays. Good flight we actually arrived a few minutes earlier. I fly this airline often.
Broke luggage. Tried to hide it.While I was walking in JFK it broke open in main terminal and all the contents spilled,"jetBlue used to be a special airline but in the past 5-10 years they have become like any other airline. We used to have 6 fully booked flight to RSW a day during season and 3 off season. Now we have 2 flight all year, One is really early. We put them on the map but it seems"
Comfortable ride,I have confidence with Jetblue being on time and their efficiency. Its my choice of selection compare to other airlines.
JETBLUE has no one on their level,"At LGA, they now occupy the old Maritime building and getting in and out is a breeze. TV for everyone. Unlimited music for everyone. Available WIFI that actually work, as compare to UNITED that is absolutely horrible."
First time JetBlue Flyer,"Tried Jet Blue for the first time and loved it! The amenities on board were better than Delta, American and United (which I’ve flown many times). The flight had more leg room, individual entertainment systems for each passenger, and a much better schedule and price than the"
Relaxed,Took red eye out if Vegas 11:55. Departed earlier as everyone arrived prior to check in time; boarded quickly and without incident. Smooth ride. Pilot hit us to NY more than 1/2 hour earlier. Ease of getting luggage. Wonderful flight.
on time arrival,"I up graded to more leg room comfortable seat, however the seat did not recline howe more leg room is great only if the seat reclines is it worth the money we did arrive on time flight crew was exceptional a passenger had a medical emergency on flight and they the crew"
Comfortable & Kind,I love everyone who works for JetBlue. They are always polite & have a smile on their face. They all seem happy to be there doing their job. I’ve flown many different airlines & the majority are not as kind. It does make a huge difference & I definitely appreciate that kind of
Later flight more relaxed,If you are looking for a flight out of New York to Jacksonville FL the 8:30 pm flight is awesome!! I had the pick of where I wanted to sit and the crew was outstanding for letting the passengers stretch across the seats to get a little shut eye after a hard visit to the city
Vacation to Cancun,We traveled from PR to Cancun. When we came back our luggage were not ready. They brang the luggage broken to my home next day. I lost many things like crafts.
not enough seating,"they really dont rty and put families together, and could care less.... tried multiple times even with upgrading couldnt do it."
I use them to fly from Boston to Arizona,"It's a non stop flight in the middle of the night. If you can sleep on an airplane, than this is the flight for you. Most of the extras that you pay for on other airlines, are included in the Jetblue price. The seats are bigger. They have TV's on the back of the seats ( I prefer"
My experience with JetBlue.,"My experience with JetBlue is great!!!! Plenty of legroom, everywhere!!!!! Plus unlimited snacks. Whenever I fly to the Caribbean, I always choose JetBlue. I recommend this airline very highly!!!!"
Flight,"Flight there was great , loading quick and easy even with small kids . Loaded from back first . Flight back home , they loaded from the front , which caused the process to be much longer and as usual no space for carry-on ."
Will fly again,"Great service, roomy seats, friendly flight staff, we have no hesitation in referring potential customers to JetBlue"
JetBlue,"Plenty of leg room, seats are very comfortable, hostess was very good. Very good price for flight ..have flown jetblue quite a few times and would recommend highly"
Value for money,The first time we ever heard of this airline was when our agent booked reasonably good priced tickets on this airline. The online check in only starts 24 hours before the flight and each check in bags cost $30. The online check in process itself was fairly easy; so was the
Great Flight!,I’ve always had a great experience flying on JetBlue so far but Aaron on flight 131 made this trip exceptional! Traveling with three little kids isn’t easy but he helped make it just a little more bearable!:) Thanks again!!
Love Flying Jet Blue but not Long Beach Airport,"I always enjoy flying Jet Blue. The flight is usually on time without delays. Although there were delays during out last trip to Long Beach, it was not the airlines fault. It was due to weather issues and a sick passenger. I was surprised that when you land at the Long Beach"
Staff took excellent care of my elderly mother,My elderly mother is legally blind and very hard of hearing. Plus she needs a wheelchair to get around if its more than a short distance. We needed to fly her from my sister's house to mine. We made all of the arrangements with JetBlue for special services she needed. The
Super nice flight attendants and smooth flight to St Maarten,These pilots MUST be first class professional with flying into this very famous airport. Smooth flying from start to finish; felt very safe. The flight attendants were friendly and strict at the same time. We left 15 minutes early and landed 10 minutes early. Because we were so
Florida Before The Hurricane,"Prior to leaving BDL I changed my return flight home from MCO due to hoopla re hurrican dorian. Contacted Jet Blue while in Florida after learning wavers were being given due to hurricane. They were fantastic, even though I was on the phone for an hour, many other people were"
Very nice flight,The Mint class is one of the best options to fly domestic. The sleeper seats are quite comfortable and the service is very nice. The flight attendants are very helpful and always ready to offer you something!
"flight cancelled, not given other options","My first and last time booking/attempting to fly with JetBlue. understandable our connecting flights were cancelled because of the hureicane in Florida, however JetBlue did not have any alternative solutions to fly us home after keeping us on hold for 90 minutes. ot was our"
Great mostly,"Everyone was terrific except the entertainment console, which kept freaking out and reverting back to the menu throughout the flight."
Another JET BLUE disapointment,Even with paying for extra leg room in the front row we were cramped and felt dirty. When you lifted the table tops out of the arm rest all I saw was dirt crusted on the arm of the table. It was the same on my wife's and the guy sitting next to me which was my second
Hmmmmmm!!!!!,"The flight going to wasn't so great only because the people seated behind me was loud,obnoxious and made fun of the fear of other passengers by making comments about the plane crashing, I couldn't watch a movie because the screen wasn't working. Finally the alcohol kicked in and"
The only airline that still allows room,"Quick flight but so much better than the others. The seats are actually comfortable. The seats are a standard 18"" wide with fantastic pitch. Each seat has its own television and remote/headphone jack. The only issue I continue to have with Jetblue is that they charge for checked"
Excellent travel experience,"Efficient, convenient, in flight movies, no nickel and diming over carry on bags, great communication Highly recommend"
Disappointing,"Our plane was showing some wear and tear, and I didn't think it was cleaned up very well between flights. Also, upon our returning home, we had a connecting flight from Chicago to Decatur, IL. Our luggage did not make it onto the plane (and we had a fairly lengthy lay over). "
Regular carrier service level at a discount price,This is a very professionally operated airline with good equipment and professional crews. You feel like you are flying one of the major carriers.
Holiday Vacation,"JetBlue is a great airline to travel wherever you might decide to go. They always have non-stop flights, very accommodating, the service on board is excellent and the extra space seats are wonderful. Highly recommended and have never had an issue using this airline."
Reliably excellent service at budget prices,"I have flown Jet Blue numerous times between JFK and California and have never been disappointed. Planes are well-maintained and clean, seats are comfortable, particularly when considering that this is marketed as a ""budget"" airline. Customer service is excellent with"
"Better snacks, roomy seats. Always on time. Lots of direct flights","Great airline, always on time. Friendly attendants. Pretty decent prices. Direct flights are a plus."
Extremely helpful!,I had back surgery a year ago and can not stand long or walk very far. Everyone was so helpful with me. They supplied me with a wheelchair and escort. There was no way I would have been able to walk all the way to the terminal. They were pleasant and accommodating. JetBlue is
Great Customer Service,The person that purchased my ticket had made a mistake and had booked me for the following night. The Counter ladies got me on the plane even when we had very little time.
Comfortable 5 hour flight,Very nice and comfortable flight. Thankfully they are still one of the airlines that don't charge extra for carry-on bag.
Blaming weather for pilot's incompetance,"On Aug 28th JetBlue cancelled my flight from St Martin to New York, because I was originating in ST Martin they told me I had to find myself lodging as I was a resident - I am not, I reside on a neighboring island and by the time my flight was cancelled there was NO WAY HOME."
Always delayed,I traveled with my family last August round trip with Jet Blue . We had 3 children (10-12 years) and both our flights were delayed. We almost missed check in because late check in was until 4 Am and we arrived at Orlando FL at 5:15 . We were supposed to arrive at 1AM.The hotel
Not perfect but close enough,"I try to use JetBlue Airline whenever possible because the airline provides good service compared to others. Even though they also charge for the check-in back just like others, I can still bring onboard one carry-on plus a personal bag for free. So I try to avoid checking in a"
"ON TIME, GREAT FLIGHT, GOOD PRICE","We did online check-in and were TSA approved, which made it a little easier to get through security. We got our luggage tags at the kiosk and a JetBlue employee was there to assist us. It was a very smooth process to just drop our bags and go to the gate. Boarding was an"
Easy flight - great room,Seat space is great on this airline. They are very accommodating - the gentleman at the gate helping those in wheelchairs (5 of them) was very kind. He kept checking on them. Sometimes it is not your experience that you observe - but that of others and how they are treated.
Inflexible staff,"Returning from South Africa, we realized that we could get an earlier flight to Portland. The JetBlue terminal was chaotic, confusing and without any staff trying to manage the chaos. Loads of people were confused, including us,without any one to ask for guidance as to where we"
JetBue is the Best - Perfect!,"Love JetBlue ... Easy to make reservations on line... If you need to call, very courtesy employees who will make your flight stress free! Had to wait a while on hold but well worth the wait... Upcoming Hurricane Dorian I am sure caused it! The captain we had is a great pilot"
great flight,Great flight All the crew was great and very helpful. Lots of seat room and elbow room. Snacks and soda available free of charge. Best airline to fly !!!!
Leg Room and Entertainment,I always fly JetBlue I always ask for emergency exit seats as there are only two seats by door. No matter where you sit there is more legroom than most Airlines. You also have the option to rent movies or watch numerous channels for free.
"Again, Great Airline","Flying to Orlando with a 5 year old child. This airline knows how to do it right. We had assigned seats the day I booked the flight, 3 months prior to our trip. Everyone boarded in an orderly fashion. The flight attendants were very friendly. The flight was very quiet and calm"
Red eye from Seattle to JFK,"jetBlue has the best service and entertainment around. Getting a choice of free snack from an airline is a treat. Our cross country flight was on time and as quick and painless as possible, even though it was 100% full. We were invited to check our carry on at the gate. Leg room"
Everything went very smooth.,We had a connecting flight in JFK to Moscow and then another flight to Ljubljana. Our bags were checked straight through from CLT and they arrived in Ljubljana. I was able to print all our boarding passes at home prior to the trip. The only problem was that Aeroflot doesn't
"A stressful week away, but much easier because of Jet Blue!","I was returning from Nashville as a result of a family emergency. I inadverntently made a mistake with my flight day and time. Initially, the Jetblue agent couldn't help at all. So instead of stressing, I checked if I could find an alternative to the flight. I couldn't, so I"
"New York City to West Palm Beach, FL",Jet blue strives to help customers feel comfortable and informed when flying. The staff is friendly and ready to listen!
"JET BLUE DESERVES MANY CHECKS..on time off and land, limitless snacks, great crew, smooth operation","Good fares, on time departure early landing, great crew, helpful throughout the flight to all who asked, wide leather seats.. I fly all airlines and will choose Jet Blue whenever I can."
"Best Domestic Airline, hands down","I love Jetblue. I travel weekly and I will always choose JetBlue over any other airline. The space, free wifi, free tv and movies, and friendly staff is second to none. I know Southwest is pretty great as well but I prefer the option to pick my seat ahead of time and have the"
The worst flight of my life!,"One of those experiences that makes you reevaluate your life, maybe G-d was mad at you for something............... We got to the airport on time and moved through everything to the gate normally, screen said the flight was delayed, but listed all the initial times so I didnt"
"Pleasant, no hassle service","First flight on JetBlue, and with a broken leg! They were pleasant and efficient - which naturally I appreciated - but didn't disrupt or delay other passengers. I wish they flew more routes that I use out of Chicago."
Love this airline!,"We were flying out for a wedding and we didn't want to take a red eye so we took a late afternoon flight. Everything wes great we left on time, we got in early and it was smooth all the way."
Always Late,"We flew with you the whole summer since June 16, 2019, August 16, 2019, and August 22, 2019 on every occasion our flight was delayed.Now my return flight is scheduled for September 12th, from LGA New York, to Ft. Lauderdale, will it be delayed that is the question?What happened"
I  you JetBlue,"First of all, I would like to say that JetBlue Airlines was awesome the seats were a soft plush leather very comfy and you had a lot of leg room which was standard through out the plane you didn't have to upgrade for leg room seating which most airline do offer for a"
Great Flights,"Jet Blue has for the most part been our go to airline. The planes are clean, the staff very friendly and helpful and on time departure and arrivals . Our rest trip was no exception. The wheelchair for my husband was right there when we arrived at the airport and when we arrived."
Jet Blue,Excellent - I travel every year to Mexico and always fly Jet Blue. Never had any serious problems to date.
Love Jet Blue,Flew with my dad who needed wheelchair assistance. The chair was ready for him and the most pleasant attendant got him through security and to the gate. He was apprehensive about making the trip and the ease really relaxed him.
Great leg room,This was our first time on JetBlue and we really enjoyed the plane ride. My daughter and I are both 5’9” and we didn’t feel cramped at all. The staff were pleasant and we enjoyed the choices of snacks.
Jamaica 2019,"excellent flight, great staff, comfy seats, what more can you ask for. entertainment was very good with lots of choices, sets reclined to a good amount and flight attendants were friendly and professional as well as pilots who kept us informed throughout entire flight."
Always reliably good,"I was a career business flyer and had to use other airlines, but almost always chose JetBlue for personal flights. Now that I am retired I fly JetBlue almost exclusively. This trip, as with most of my JetBlue trips, was a good experience from booking, through check-in, the"
"I love them, but they are always LATE.........always!!!!!!!!!","As far as I am concerned, JetBlue is a great airline. If, they weren't always LATE. And, I mean ALWAYS. I think every flight I have taken with them over the past few years has been late. Every. Single. One. Of. Them. It is really frustrating in that they are one of a few"
Great flight,Super easy and on time ! Easy to board and get off . Luggage never gets lost on JetBlue! I love the email updates and online check in. I have the credit card and the app so it makes it super simple to book and get points
More Leg Room Than Expected!,"This was our first flight on JetBlue and we were pleasantly surprised with the comfortable seats and the GREAT leg room! All JetBlue employees, from gate personnel to flight attendants, were knowledgeable, courteous and friendly."
Jet Blue is the best discount airlines,"When I travel always try to fly jet blue all things equal. You get to bring on a carry on, get beverages and snacks, movies, and choose your seats for no additional cost. The personnel are always friendly."
Marcia's experience,"Took off and landed on time which was very important, passport clearance on the Island was a little long. Also when I arrived home and received some bills from the Airline, were very petty and we were never told about before hand"
JetBlue direct to JFK,"Flight was good overall. TV's did not work, nor did my overhead light. It was impossible to read my magazines without any light. Service was good. Will take the flight again because it is direct to Boston and NY."
Always Great!,I've been flying with JetBlue for years and have had an overall great experience with them. Rarely delayed and always great on board service. Will be flying to San Juan P.R. in a few months and will be upgrading to business class. Looking forward to the next level!
Excellent!!!,"In all honestly, it was one of the best experiences I have ever had flying with them. The only downside was that I could not use the electronic format in Punta Cana. I had to go to the counter and print out my boarding pass. Also, I really don't understand of why did they have"
My airline of preference,I think that check in and flight service is excellent. I've never had a problem with them in that department. The only thing that is a little negative is that lately they have alot of delays. I usually travel about 3 times a year for work and pleasure and I've noticed that we
excellent experiencs,"First flight with JetBlue. Have been a Medallion customer with Delta for many years, but just cant deal with flying to LA via atlanta. Will be flying with blue again and often"
"Great legroom, Free WiFi and more...","Though JetBlue will cost you more than other airlines to Newark, they provide a much better in-flight experience--and they don't nickel and dime you to do it. The plane had individual entertainment screens, free WiFi and--best of all--more legroom!"
The Best airline ever!!!!,"From the first time my husband and I flew Jet Blue, we vowed to always try and fly this airline whenever possible. The entire experience was excellent from start to finish. The level of service, the leg room, the comfortable seats, all were just so wonderful. If we have to"
JetBlue makes air travel comfy,"Had a great flight, Jim and I highly recommend JetBlue's staff, snacks, seating, leg room. The only drawback is we had to use a ramp to board, awkward to drag our carry-on luggage up a fairly steep ramp. We did get to use the standard jetway instead on two instances."
Most convenient way to get from New York City to Tamarindo,"We love traveling with JetBlue, especially out of JFK in New York City. The terminal is clean, big and bright. On this trip we discovered T5 Rooftop Lounge, which is a comfortable open air lounge area in the terminal open to all passengers. Very pleasant way to wait for your"
Safety concern,"I flew JetBlue to bring my family on a Barbados vacation. It seems to have turned into a no-frills airline. You have to pay for everything onboard the plane (headphones Lunch, alcohol, etc). But that's not my main Beef. My main concern is safety. Namely, instead of giving the"
Nice flight,"I had not flown on Jet Blue for several years. The flight was nice but not the Jet Blue of old days. No more hand running beverages, not many smiles and not the wonderful friendliness that jet Blue has a reputation for. In other words, it is no different than any other airline."
Good flights,"Our flight up to New York was perfect, on time, nice folks. The flight back was delayed 6 hours due to bad weather in Florida. Small airport with nothing to do and it was cramped because ours wasn't the only delayed flight. Good Airline."
Really glad I found this airline,"I forgot that flying could be actually a pleasant experience. On time, extra legroom, pick my seat, free Wi-Fi and a snack. I even got points for my dog flying with me."
Love Jet blue,"I have nothing but outstanding things to say about Jet blue, the company the staff , I have taken many many flights with them over the years and only twice were we delayed and it was because of weather not JetBlue ! I recommend to everyone , a very happy loyal customer ."
great flight even though there was turbulance,"Safe, friendly--a great flight even though the flight was delayed. Everyone was relaxed even though it became a late flight."
I would ONLY FLY JET BLUE if I could,"I can’t say enough about Jet Blue and their excellent staff! They were dealing with full flights on both of my recent trips, they were dealing with a different plane being delivered to the gate so the seat configurations didn’t match and they managed to get everyone"
Nice cross country flight,No one likes being stuck in a plane for 6+ hours but Jet Blue was at least fairly comfortable. coming back I had a red-eye and an empty seat next to me which was really nice. Going out the entertainment was decent. Some food options but I would bring what you like for a meal.
Love Jet Blue,"I have not flown anywhere for a long, long time. When I did, I always used Jet Blue (for as long as it has been around). The little TV was the best thing to keep you occupied while you were flying. Loved the blue potato chips. Found the seat area to be comfortable - it was a"
the Hurricane does not arrive and we remain in the airport until 2 am and cancelled the flight for a flighattender,"we changed our flight , so we moved a day before to avoid the pass of the recent hurricane and the airlines tell us that there was no problem in the flight at 10.50 pm. we arrived in the airport and nobody say nothing , when the time pass they start tell us that the pilot are"
Vacation time,Jet blue is a great airline. No delays with easy check in at the airport The flight was on schedule both ways.
accommodating and accountable,"The usual of making sure everyone had the snack and food they wanted, but from the pilot to the flight attendants anything that wasn't going 110% smoothly was explained. It is awesome to feel like you are in the know during travel, so everyone was less stressed (and probably"
Best airline for budget travel,"Jet Blue is always our 'go to' airlines for anywhere. Period. No-surprises or add-on pricing (some airlines these days even charge more if you have a carry-on bag, not to even mention having a seat assignment before the last possible minute!), no-hassle seating selection"
Everything else went right but over 2 hours delay is kind of too much.,"Great staff, excellent airplane and seats but the long delay was too bad. It might be caused by outside problems but the bottom line is that I got there 2 hours after planned. The check in in Fort Lauderdale was not good. The auto monitors would not do my check in."
always choose JetBlue,Flight was on time and the crew was great. Responsive crew. We even got in early. info at the gate in NYC was also clear.
Just another airline,JetBlue used to be a nice alternative to the other airlines with tv screens at every seat. Now the screens are blurry and small. The sound is horrible with the jacks being old. They now sell blankets and headsets. So bring a jacket as they make it cold on the flight to sell
Jet Blue - consistently delivers good service,"Consistent service, good legroom in economy seats, pleasant service, on-time departure and arrival. Jet Blue manages the check in process well. Turns back people who are trying to board early/in room group."
"When my flight was cancelled, I was returned my fare.",I have been happy travelling with jet blue. The crew is extremely polite and helpful. The snacks are. generous.
JetBlue whenever possible!,JetBlue has the most comfortable seats and I love the individual seat back entertainment system. I always try to fly JetBlue even when the connections are not the best. I hope they expand to more airports.
Boston to FLL,"Always like to fly JetBlue. Unfortunately, the flight was delayed three hours arriving from Denver, but came in and got into FLL as last flight in on Sunday night before Hurricane closed the airport. The TV didn't work well in neither of the three seats in our row with"
Mint,"Tried the Mint seating for this trip There are only a few of these up in the front of the plane You get very fast personal service , choice of meals and drinks Most importantly, the seats are able to go flat and you are able to get sleep while you fly I’m 6 foot 3 and I was"
Wonderful Flight,Our flights to and from Grand Cayman on Jet Blue were excellent. I had requested wheel chair assistance for my husband and a friend and Jet Blue was right there are all locations with wheelchairs. The flights were all on time with no issues at all. We love using Jet Blue.
Family birthday trip,The whole flight it was with a turbulence but it was ok. The flight attendance round trip was not good enough. The plane wasn’t clean and the flight attendance not go through to pick the garbage and when I went to ask one of them where I can throw it she didn’t stand up or
Flying with Dorian,Considering that hurricane Dorian was still live and wrecking havoc along the east. The pilot advised that we will not be flying near the hurricane to get to BQN. The flight was better than when we fly without any hurricanes and arrived before schedule. JetBlue is my favorite
"Annual trip to Boston, MA","Jet blue is always the best airline to fly. Plenty of leg room, congenial staff and on time. Easy to maneuver through lines."
Smooth like butter,"I just love jetblue. Everything about the Airline is great from the on time performance, seating, in flight drink and snack choices. They will never disappoint you."
Very nice informative airline,"Very nice comfortable flight. Departed a little late, however we were updated continually so we could contact persons meeting us in Montego Bay of new arrival time."
First time JetBlue Passenger,As a First time JetBlue Passenger I had no complaints. The flight was smooth and the staff was friendly.
Seems somethings not working here.,"Plane was delayed from Fll. Maintenance issue. Delayed numerous times so that eventually missed connecting flight from FLL to ATL. We had to spend the night. Next day flight delayed because pilots delayed coming in from Columbia and flight crew delayed coming from Boston, more"
Nice flight,"Flight was beautiful new plane, tv's worked, very comfortable, flight attendees were very nice. fly jetblue and they are great."
First time on JetBlue was great.,"They advertise ‘more legroom than other airlines’ and it’s true. More room in front of my knees than other flights I’ve been on. Full can of pop, instead of small glass. All personnel were very nice, friendly, and competent."
Great leg room and on time both ways,Pleasantly surprised that the leg room and comfort of the seats hasn't been compromised like so many other carriers. Very friendly and helpful crew on both directions of our trip. Will definitely try to fly them more often.
Flight Attendants: The Flight is not over until everyone is OFF the plane!,"One of my biggest pet peeves with the Airlines is why don't these Flight Attendants announce we are going to be de-boarding the plane, ""passengers, please gather all of your belongings"", announce when the plane door is Open and passengers are now starting to de-plane. Usher"
New England Vacation,"I highly recommend JetBlue Airlines. Our flights (outbound and inbound) were fantastic. Left right on time and arrived right on time. And while in the air attendants were great, they were very courteous and did everything they could to make the flight enjoyable."
Nice Flight,Very nice flight. With TV in seat back. Arrived approx 30 min earlier. Smooth take off and landing. Very happy.
Short Vacation Trip,Despite a delayed departure due to prior legs being delayed - overall experience is as expected with JetBlue.
